breakfast,0,626973
breakfast,1,500644
breakfast,2,395398
breakfast,3,359002
breakfast,4,380089
breakfast,5,494873
breakfast,6,794615
breakfast,7,1285447
breakfast,8,1843592
breakfast,9,2227719
breakfast,10,2246624
breakfast,11,1924162
breakfast,12,1489522
breakfast,13,1159154
breakfast,14,969880
breakfast,15,889144
breakfast,16,855858
breakfast,17,845630
breakfast,18,823129
breakfast,19,811985
breakfast,20,822437
breakfast,21,821097
breakfast,22,802461
breakfast,23,748072
brunch,0,63594
brunch,1,47773
brunch,2,36994
brunch,3,31150
brunch,4,30440
brunch,5,34428
brunch,6,46654
brunch,7,74963
brunch,8,124547
brunch,9,197748
brunch,10,287096
brunch,11,351433
brunch,12,347901
brunch,13,296529
brunch,14,237125
brunch,15,189907
brunch,16,157181
brunch,17,135178
brunch,18,122509
brunch,19,117218
brunch,20,117714
brunch,21,109665
brunch,22,96673
brunch,23,79568
coffee,0,1134267
coffee,1,893609
coffee,2,721616
coffee,3,645156
coffee,4,656696
coffee,5,797780
coffee,6,1138919
coffee,7,1654668
coffee,8,2182108
coffee,9,2516876
coffee,10,2591043
coffee,11,2426910
coffee,12,2225354
coffee,13,2049616
coffee,14,1941146
coffee,15,1865562
coffee,16,1808720
coffee,17,1739330
coffee,18,1670090
coffee,19,1640974
coffee,20,1669975
coffee,21,1668247
coffee,22,1577684
coffee,23,1387946
dinner,0,1084630
dinner,1,749231
dinner,2,545397
dinner,3,480026
dinner,4,501466
dinner,5,511662
dinner,6,553451
dinner,7,636757
dinner,8,770110
dinner,9,931082
dinner,10,1055347
dinner,11,1136237
dinner,12,1191346
dinner,13,1222364
dinner,14,1274959
dinner,15,1380378
dinner,16,1593905
dinner,17,1980860
dinner,18,2478255
dinner,19,2757086
dinner,20,2688152
dinner,21,2354765
dinner,22,1932834
dinner,23,1503248
lunch,0,593107
lunch,1,423532
lunch,2,318350
lunch,3,269940
lunch,4,266905
lunch,5,294680
lunch,6,371018
lunch,7,523390
lunch,8,742350
lunch,9,1029205
lunch,10,1416038
lunch,11,2057341
lunch,12,2728556
lunch,13,2666321
lunch,14,2125579
lunch,15,1575571
lunch,16,1227736
lunch,17,1042572
lunch,18,950870
lunch,19,935591
lunch,20,989453
lunch,21,1013568
lunch,22,933684
lunch,23,780270
